timestamp,filter,x,y,theta,P_xx,P_yy,P_tt
1299.150000,KF,-0.000163,-0.000151,-0.000424,0.070643,0.070643,0.000000
1299.160000,KF,-0.000170,-0.000270,-0.000374,0.072798,0.072798,0.000000
1299.160000,EKF,0.000000,0.000000,-0.002343,1.010002,1.010002,0.083607
1299.160000,Odom,-0.001966,-0.000417,-0.000323,0.000010,0.000010,1000000000000.000000
1299.170000,EKF,0.000000,0.000000,-0.011847,1.020004,1.020004,0.048349
1299.170000,KF,-0.000170,-0.000402,-0.000323,0.074973,0.074973,0.000000
1299.180000,KF,-0.000164,-0.000542,-0.000277,0.077170,0.077170,0.000000
1299.180000,EKF,0.000000,0.000000,-0.002510,1.030006,1.030006,0.036849
1299.190000,KF,-0.000153,-0.000678,-0.000226,0.079390,0.079390,0.000000
1299.190000,EKF,0.000000,0.000000,-0.008606,1.040008,1.040008,0.031903
1299.190000,Odom,-0.001890,-0.000703,-0.000169,0.000010,0.000010,1000000000000.000000
1299.200000,KF,-0.000139,-0.000811,-0.000169,0.081633,0.081633,0.000000
1299.200000,EKF,0.000000,0.000000,-0.005876,1.050010,1.050010,0.029530
1299.200000,PF,-0.065981,0.072924,3.102066,0.000000,0.000000,0.000000
1299.210000,KF,-0.000125,-0.000936,-0.000106,0.083900,0.083900,0.000000
1299.210000,EKF,0.000000,0.000000,0.000025,1.060012,1.060012,0.028331
1299.220000,KF,-0.000112,-0.001051,-0.000040,0.086193,0.086193,0.000000
1299.220000,EKF,0.000000,0.000000,0.002619,1.070014,1.070014,0.027710
1299.230000,KF,-0.000100,-0.001159,0.000028,0.088513,0.088513,0.000000
1299.230000,EKF,0.000000,0.000000,0.003058,1.080016,1.080016,0.027384
1299.230000,Odom,-0.001792,-0.000947,0.000095,0.000010,0.000010,1000000000000.000000
1299.240000,EKF,0.000000,0.000000,0.013865,1.090018,1.090018,0.027212
1299.240000,KF,-0.000088,-0.001253,0.000095,0.090860,0.090860,0.000000
1299.250000,KF,-0.000078,-0.001333,0.000160,0.093235,0.093235,0.000000
1299.250000,EKF,0.000000,0.000000,0.012212,1.100020,1.100020,0.027120
1299.260000,KF,-0.000069,-0.001400,0.000223,0.095640,0.095640,0.000000
1299.260000,EKF,0.000000,0.000000,0.014541,1.110022,1.110022,0.027072
1299.260000,Odom,-0.001726,-0.001023,0.000283,0.000010,0.000010,1000000000000.000000
1299.270000,KF,-0.000060,-0.001458,0.000283,0.098076,0.098076,0.000000
1299.270000,EKF,0.000000,0.000000,0.014966,1.120024,1.120024,0.027046
1299.280000,KF,-0.000054,-0.001506,0.000339,0.100543,0.100543,0.000000
1299.280000,EKF,0.000000,0.000000,0.010361,1.130026,1.130026,0.027032
1299.290000,KF,-0.000052,-0.001546,0.000385,0.103042,0.103042,0.000000
1299.290000,EKF,0.000000,0.000000,0.005878,1.140028,1.140028,0.027025
